f1,accuracy,brier_score,roc_auc,model__n_estimators,model__max_depth,model__min_samples_split,model__min_samples_leaf,model__min_weight_fraction_leaf,model__max_leaf_nodes,model__criterion
0.5100599978159196,0.6483701366982124,0.2192374162072477,0.7790916132922167,517,19.0,32,16,0.2882680817234011,47.0,entropy
0.5325410436648799,0.658254468980021,0.1990075406579304,0.8276499611719306,173,,50,50,0.052911129985104,14.0,gini
0.5100599978159196,0.6483701366982124,0.21682483824090795,0.7833414099856133,69,9.0,5,10,0.21775588188423234,31.0,gini
0.5100599978159196,0.6483701366982124,0.22173715637755562,0.777908117394432,379,21.0,41,7,0.34322671843207386,10.0,gini
0.5100599978159196,0.6483701366982124,0.22748953218769333,0.7121201956690263,173,23.0,50,35,0.4800047744265525,,gini
0.5100599978159196,0.6483701366982124,0.21573978210827677,0.7916727067771713,173,1.0,11,25,0.15505453870219887,26.0,entropy
0.5100599978159196,0.6483701366982124,0.22795349287652283,0.5438794285144496,448,9.0,17,28,0.4986094917242533,6.0,entropy
0.5100599978159196,0.6483701366982124,0.20534790168332512,0.8105170816345851,69,30.0,56,53,0.07947600665734456,51.0,entropy
0.5100599978159196,0.6483701366982124,0.2176916919057073,0.794496210892578,931,19.0,47,28,0.2403856642543301,47.0,gini
0.5100599978159196,0.6483701366982124,0.22636047065397716,0.7486223334437812,586,30.0,35,4,0.44782562941855586,31.0,entropy
0.5100599978159196,0.6483701366982124,0.22345424737144876,0.7695140268946701,793,7.0,29,41,0.3848882612930788,47.0,entropy
0.5100599978159196,0.6483701366982124,0.21290364284384444,0.8006701333869793,483,25.0,11,44,0.15874670137097868,51.0,entropy
0.5100599978159196,0.6483701366982124,0.2198677138765929,0.7865233438368612,862,,5,38,0.28889638733754497,14.0,gini
0.5100599978159196,0.6483701366982124,0.22235838577071512,0.7731666407521879,758,19.0,60,7,0.3696135311342762,43.0,entropy
0.5100599978159196,0.6483701366982124,0.22184447180925834,0.774358054064813,276,5.0,47,44,0.34904865245368455,51.0,gini
0.5100599978159196,0.6483701366982124,0.2084243508062908,0.812688278064847,483,7.0,44,32,0.10319765357553956,39.0,gini
0.5100599978159196,0.6483701366982124,0.21889964567747044,0.7836743354609396,655,7.0,50,19,0.2705745436056097,60.0,gini
0.7482908693343692,0.7748685594111462,0.1631924319289537,0.8625553515807477,862,25.0,8,35,0.003718664108341929,39.0,entropy
0.5100599978159196,0.6483701366982124,0.2104430169881394,0.8207199740590085,586,1.0,35,38,0.04822612382148439,18.0,entropy
0.5100599978159196,0.6483701366982124,0.22789419452995577,0.5312426403203554,345,17.0,11,10,0.498015607043984,26.0,entropy
0.5100599978159196,0.6483701366982124,0.21948440690366897,0.7749909198285241,242,13.0,5,10,0.28621994008198576,55.0,gini
0.5100599978159196,0.6483701366982124,0.2203396611551508,0.7760130605093218,276,27.0,38,1,0.3003207912575094,2.0,gini
0.5100599978159196,0.6483701366982124,0.21953177450359046,0.7732323140714553,104,3.0,60,22,0.2730639623785271,47.0,entropy
0.5100599978159196,0.6483701366982124,0.2169647971658468,0.7956374462246274,552,3.0,29,53,0.22322882312031306,39.0,entropy
0.5100599978159196,0.6483701366982124,0.21296034395698235,0.7990924581397911,758,30.0,60,13,0.15220578455836759,22.0,gini
0.5100599978159196,0.6483701366982124,0.21037789966467296,0.8244651537719583,965,1.0,50,35,0.038270756952224316,31.0,entropy
0.5100599978159196,0.6483701366982124,0.22624915558369774,0.748518049086905,552,1.0,11,50,0.44782215333933456,14.0,entropy
0.5100599978159196,0.6483701366982124,0.2260298680888027,0.7466036230284303,621,23.0,47,32,0.4526514078820379,51.0,entropy
0.5100599978159196,0.6483701366982124,0.21049179535589221,0.8080545352504163,965,3.0,26,60,0.12167188608541613,51.0,gini
0.5100599978159196,0.6483701366982124,0.20585285798942915,0.819242824518466,655,5.0,2,19,0.0816081950785138,22.0,gini
0.5150128755321269,0.6505257623554154,0.2016604003153984,0.8277075109568293,827,3.0,53,10,0.0573510039013011,39.0,entropy
0.5100599978159196,0.6483701366982124,0.20431873762068903,0.819987570749922,621,9.0,2,22,0.07635286499381827,22.0,entropy
0.5392434355529472,0.6613564668769716,0.19878397013553564,0.8322491729029545,793,25.0,44,4,0.04723742457284208,31.0,entropy
0.5100599978159196,0.6483701366982124,0.2279901058131293,0.4970020520775297,1,17.0,44,35,0.48448910728579037,2.0,gini
0.5100599978159196,0.6483701366982124,0.21876201305935142,0.7900735041639054,896,21.0,14,22,0.2654122467806896,39.0,entropy
0.5100599978159196,0.6483701366982124,0.21388735159789476,0.7962148900844574,448,25.0,56,22,0.16581845613438434,43.0,entropy
0.5100599978159196,0.6483701366982124,0.2262015263194253,0.748142917606895,1000,11.0,23,56,0.45512083420618243,47.0,entropy
0.5100599978159196,0.6483701366982124,0.2275460745954838,0.7213577151558089,1000,23.0,8,7,0.48318719413264505,,entropy
0.5100599978159196,0.6483701366982124,0.2168404548907279,0.7838981267081245,379,27.0,23,16,0.2634005011817155,51.0,entropy
0.5100599978159196,0.6483701366982124,0.21867713452605467,0.7862892526755769,621,19.0,38,60,0.27545536216522426,6.0,entropy
0.5100599978159196,0.6483701366982124,0.22697177217597714,0.7420766683169162,448,5.0,20,7,0.46530325965425046,2.0,gini
0.5100599978159196,0.6483701366982124,0.22662702538716728,0.7387404903724235,517,21.0,26,25,0.46186599199982664,22.0,entropy
