f1_mean,accuracy_mean,brier_score_mean,roc_auc_mean,model__kernel,model__C,model__gamma,model__degree
0.31653552066841656,0.48171411204538545,0.2888538693284496,0.5304015056564919,poly,0.0009765625,0.5,5
0.44422324571662763,0.5254786749062912,0.2561612830675927,0.5918845213775589,rbf,4.0,0.5,5
0.5198572846810396,0.5642792017019552,0.27383989759964467,0.6762736153190761,linear,0.0078125,256.0,5
0.35066479618163576,0.4162698814709756,0.24959940489394492,0.4860703335997921,sigmoid,256.0,4.0,2
0.520158388523537,0.5595177793536622,0.2770694807788676,0.6095240914907545,sigmoid,0.5,0.0009765625,4
0.3247720880681482,0.4834363286394489,0.2775201142895893,0.6213431824387228,poly,0.5,0.0078125,4
0.5085893130982518,0.558504710768919,0.26212573560102254,0.6707006796343264,sigmoid,0.5,0.0009765625,5
0.5135377832670267,0.5741059669739641,0.24634069826055505,0.5703842804133071,rbf,32.0,32.0,5
0.5092635642591581,0.5363185087630432,0.2509385056495476,0.5141342392931276,poly,256.0,0.5,3
0.4840802802195516,0.520008104548678,0.25280183899159314,0.4848688841957058,linear,32.0,0.5,3
0.4717515283028749,0.5353054401783001,0.2738132540815747,0.6628110741577764,sigmoid,0.0625,0.0078125,5
0.47012263111212693,0.5143349204741161,0.24941974362654454,0.5151217609634623,rbf,0.0625,256.0,5
0.46325414567295226,0.5351028264613514,0.2716103920946478,0.6503941986005981,rbf,256.0,0.0009765625,5
0.46835488924502416,0.5045081552021072,0.2552954704305163,0.5410116427676184,rbf,0.0078125,32.0,2
0.5250475613147224,0.5341910647350826,0.2500127201731436,0.49109324576379915,linear,256.0,0.0009765625,3
0.34663325583569016,0.49073042244959986,0.2913221088996352,0.5746748216206614,poly,256.0,0.0009765625,3
0.40960750792689243,0.5150440684834363,0.29041792776830067,0.5499438092747387,poly,0.0078125,0.5,2
0.4931371743690339,0.5236551514537534,0.24739254284025564,0.5595083013418337,poly,0.5,32.0,4
0.611851388804507,0.6297234322763651,0.2325352482232957,0.6736537253237803,rbf,0.0078125,4.0,2
0.44310729152882644,0.5312531658393274,0.26552398922797704,0.5758175102882689,poly,0.0625,0.0009765625,2
0.49649882238490417,0.5693445446256712,0.2452239059469196,0.5750139397408441,rbf,4.0,32.0,5
0.46122998805755006,0.5274035052173032,0.26565438870905983,0.6608258330125959,sigmoid,32.0,0.0078125,2
0.47663727452553106,0.5126127038800526,0.2486555162347651,0.5170326362640507,poly,0.0009765625,32.0,4
0.5269453086520405,0.5349002127444028,0.24566382996982988,0.5884907496044238,linear,256.0,4.0,2
0.4518261871851882,0.5213250937088441,0.2636858214929213,0.5857709375729883,rbf,4.0,0.5,4
0.3442401784497415,0.49194610475129164,0.27570539991390386,0.5114841259659131,linear,4.0,32.0,4
0.5487056169620204,0.5616452233816229,0.25200706648759946,0.5375526749499157,linear,256.0,0.5,5
0.524380309563994,0.5613413028062,0.2602974835483136,0.6694205056466231,linear,0.5,0.0625,5
0.42519892778083046,0.49893627798601964,0.278125016444838,0.4984495636326554,sigmoid,0.5,0.5,4
0.37207303548391546,0.491743491034343,0.2518341144755069,0.5680028874590032,rbf,256.0,0.0078125,2
0.45621826473799876,0.5316583932732246,0.28956188274196815,0.6119427393276686,rbf,0.5,0.0078125,5
0.5471206610507819,0.5748151149832844,0.290737413891407,0.6268548284959554,sigmoid,0.0625,0.0009765625,5
0.43237111105681303,0.5179819673791916,0.2764350140986925,0.6482061116100359,rbf,0.0078125,0.5,3
0.5050599571666633,0.528923108094418,0.2535095065067612,0.48461077282910126,rbf,256.0,0.0625,4
